Sentence,entities,extracted_keywords
Discounting usance bills under Import and Export Letters of Credit and Bills Avalized improving cash flow,"[[""Import and Export Letters of Credit"", ""PRODUCT"", 31, 66]]","['Import and Export Letters of Credit', 'cash flow', 'bills']"
Visa Signature Credit Card CashBack into your DFCC Bank account on every spend ,"[[""Visa Signature Credit Card"", ""PRODUCT"", 0, 26], [""DFCC Bank"", ""ORG"", 46, 55]]","['Visa Signature Credit Card', 'Bank account','DFCC Bank']"
DFCC Bank is part of an interconnected network stream that collaborates with Sri Lanka leading Banks enabling swift and secure transfers within the network Local payments are made possible via Sri Lanka Inter Bank Payment System SLIPS ,"[[""DFCC Bank"", ""ORG"", 0, 9], [""Sri Lanka"", ""GPE"", 77, 86], [""Banks"", ""ORG"", 95, 100], [""Sri Lanka Inter Bank Payment System"", ""SERVICE"", 193, 228]]","['DFCC Bank', 'Bank Payment', 'Sri Lanka Inter Bank Payment System', 'SLIPS']"
Save the money you earn using your talent your pocket money and cash gifts in DFCC Teen Account,"[[""DFCC Teen Account"",""PRODUCT"",78,95]]",['DFCC Teen Account']
Credit Cards Comparison Tool,"[[""Credit Cards"", ""PRODUCT"", 0, 12]]","['Credit Cards', 'Cards Comparison']"
 Enjoy Easy Payment Plans of up to months on travel furniture electronics and home appliances with no additional charges at leading merchants throughout the year,"[[""up to months"", ""DATE"", 29, 41], [""the year"", ""DATE"", 153, 161]]","['Easy Payment', 'Payment Plans']"
Features Bene ts DFCC affinity cards,"[[""DFCC affinity cards"", ""PRODUCT"", 17, 36]]","['DFCC affinity cards', 'DFCC']"
Your needs could vary from buying house providing for your child education getting your child married retirement and many more DFCC Bank investment planners cater for your all financial needs and help secure your future,"[[""DFCC Bank"", ""ORG"", 127, 136]]","['financial needs', 'DFCC Bank', 'Bank investment']"
Funds can be easily received or remitted out of Srilanka through our wide range of correspondent banking network acoross the Globe ,"[[""Srilanka"", ""GPE"", 48, 56]]","['Srilanka', 'correspondent banking']"
Foreign Currency Fixed Deposit Rates,"[[""Fixed Deposit"", ""PRODUCT"", 17, 30]]","['Deposit Rates', 'Foreign Currency', 'Fixed Deposit']"
Overdraft facility is offered to finance day to day working capital requirement up to an established limit You have the option to settle the overdraft on daily basis and interest will be charged only on usage Shrotterm loans are granted in the form of Revolving Nonrevolving loans that will finance short term working capital requirement,"[[""daily"", ""DATE"", 154, 159], [""Shrotterm loans"", ""PRODUCT"", 209, 224]]","['Overdraft facility', 'Nonrevolving loans', 'Shrotterm loans']"
DFCC acquired ABN AMRO Securities Pvt Limited and renamed the company to DFCC Stock Brokers Pvt Ltd,"[[""DFCC"", ""ORG"", 0, 4], [""ABN AMRO Securities Pvt Limited"", ""ORG"", 14, 45], [""DFCC Stock Brokers Pvt Ltd"", ""ORG"", 73, 99]]","['DFCC', 'stock ', 'AMRO']"
As pioneer pathfinder and trailblazer DFCC Bank has evolved expanded and kept pace with the ever changing needs of the customer and the nation,"[[""DFCC Bank"", ""ORG"", 38, 47]]",['DFCC Bank']
DFCC Credit Cards also allow you to save as you spend by earning CashBack on every transaction you make anywhere in the world,"[[""DFCC Credit Cards"", ""PRODUCT"", 0, 17]]","['DFCC Credit Cards', 'Credit Cards']"
High Interest tiered savings account As you increase the savings account balance maintained in the DFCC Aloka savings account you are able to earn higher rate of return Deposit Range Interest Rate ,"[[""DFCC Aloka"", ""PRODUCT"", 99, 109]]","['savings account', 'DFCC Aloka']"
Clients can submit Telegraphic Transfer TT payment instructions directly onto DFCC iConnect without having to visit any of the branches,"[[""Telegraphic Transfer"", ""SERVICE"", 19, 39], [""TT"", ""SERVICE"", 40, 42], [""DFCC iConnect"", ""PRODUCT"", 78, 91]]","['DFCC iConnect', 'Telegraphic Transfer']"
At DFCC we believe in continuous evolution and innovation to cater to the changing needs of the market ,"[[""DFCC"", ""ORG"", 3, 7]]","['innovation', 'DFCC']"
Commercial Bank of Ceylon ceased to be an Associate Company,"[[""Commercial Bank of Ceylon"", ""ORG"", 0, 25]]","['Commercial Bank', 'Associate Company']"
CEFT Transaction process to conduct TAX payments,"[[""CEFT Transaction"", ""SERVICE"", 0, 16]]","['TAX payments', 'CEFT Transaction']"
DFCC Consulting Pvt Limited ,"[[""DFCC Consulting Pvt Limited"", ""ORG"", 0, 27]]","['DFCC Consulting Pvt Limited', 'Consulting']"
DFCC Sustainability Trust was created in to carry out identified CSR Sustainability initiatives as proposed by the Board approved Sustainability Policy Strategy and Plan for DFCC ,"[[""DFCC Sustainability Trust"", ""SERVICE"", 0, 25]]","['DFCC Sustainability Trust', 'Sustainability']"
DFCC Bank new Sustainability Strategy is linked to SDGs,"[[""DFCC Bank"", ""ORG"", 0, 9]]","['Sustainability Strategy', 'DFCC Bank', 'Sustainability', 'DFCC']"
The online form now accommodates end to end digital account opening to jump start your saving habit with higher interest rates offered by DFCC Bank,"[[""DFCC Bank"", ""ORG"", 138, 147]]","['digital account', 'DFCC Bank']"
Clients can build in their current Authorisation Matrix as per their Board Resolutions into the DFCC iConnect system with any number of signature combinations and signature categories,"[[""DFCC iConnect"", ""PRODUCT"", 96, 109]]","['DFCC iConnect', 'DFCC']"
DFCC Affinity Credit Cards,"[[""DFCC Affinity Credit Cards"", ""PRODUCT"", 0, 26]]","['Credit Cards', 'DFCC Affinity Credit Cards', 'DFCC']"
DFCC bank commercial bank offers the best biggest and popular deals and number one promotions in sri lanka suiting your lifestyle needs,"[[""DFCC bank"", ""ORG"", 0, 9], [""commercial bank "",""ORG"",10,25]]","['DFCC bank', 'commercial bank']"
DFCC Bank PLC Legal Form Public Quoted Company incorporated under the Companies Act,"[[""DFCC Bank PLC"", ""ORG"", 0, 13]]","['Corporate Information', 'DFCC Bank']"
Current accounts can be operated through Internet Banking DFCC iConnect Accounts are available in both ,"[[""DFCC iConnect"",""PRODUCT"",58,71]]","['DFCC iConnect', 'Current accounts', 'Internet Banking']"
DFCC Bank also seeks to be Clean Air Champion in Sri Lanka and will work with organisations on local air pollution mitigation actions,"[[""DFCC Bank"", ""ORG"", 0, 9],[""Sri Lanka"", ""GPE"", 49, 58]]","['Clean Air', 'DFCC Bank', 'DFCC']"
The Bank believes that the best sustainability framework to adopt is the Triple Bottom Line TBL of People Planet and Profit the three Ps,"[[""Bank"", ""ORG"", 4, 8]]","['sustainability framework', 'sustainability']"
No special overseas spend limits are imposed on ATM PointofSale and commerce transactions ,"[[""ATM PointofSale"", ""PRODUCT"", 48, 63]]","['ATM PointofSale', 'transactions']"
Home loans could be obtained for We also provide three modes of payment Equated monthly installments where your capital plus interest is fixed sum ,"[[""Home loans"",""PRODUCT"",0,10]]","['Home loans', 'loans']"
DFCC Bank offers comprehensive range of Treasury products and services delivered by experienced and competent dealers who understand your needs ,"[[""DFCC Bank"", ""ORG"", 0, 9]]","['DFCC Bank', 'DFCC', 'Treasury products']"
Enjoy access to over airport lounges worldwide with complimentary annual membership with Lounge Key Free visits for DFCC Pinnacle Infinite cardholders per year Free visit for Signature DFCC Prestige and World Mastercard credit cardholders to any partner airport lounge worldwide,"[[""annual"", ""DATE"", 66, 72], [""DFCC Pinnacle Infinite"", ""PRODUCT"", 116, 138], [""World Mastercard"", ""PRODUCT"", 203, 219]]","['airport lounges','DFCC Pinnacle Infinite', 'World Mastercard']"
DFCC Prestige aims to help you to be in control and smoothly navigate through your financials to help you achieve your next goal ,"[[""DFCC Prestige"",""PRODUCT"",0,13]]","['DFCC Prestige', 'Prestige', 'DFCC']"
DFCC Bank PLC respects its customers right always to receive efficient service,"[[""DFCC Bank PLC"", ""ORG"", 0, 13]]","['DFCC Bank PLC', 'DFCC', 'efficient service']"
Manusavi loan scheme offered in collaboration with the Central Bank of Sri Lanka CBSL and the Sri Lanka Bureau of Foreign Employment SLBFE which provides loans for Sri Lankan Migrant Workers,"[[""Manusavi loan scheme"", ""PRODUCT"", 0, 20], [""Central Bank of Sri Lanka"", ""ORG"", 55, 80],[""CBSL"",""ORG"",81,85], [""Sri Lanka Bureau of Foreign Employment"", ""ORG"", 94, 132], [""SLBFE"",""ORG"",133,138]]","['loan scheme', 'Manusavi loan scheme','Central Bank of Sri Lanka', 'Sri Lanka Bureau of Foreign Employment']"
Clients can opt to pay their utility bills through DFCC iConnect ,"[[""DFCC iConnect"", ""PRODUCT"", 51, 64]]","['DFCC iConnect', 'utility bills', 'DFCC']"
This feature on iConnect allows clients to get their distributors and suppliers onto one platform for direct financing to be approved by the Bank clients and their distributors ,"[[""iConnect"", ""PRODUCT"", 16, 24], [""Bank"", ""ORG"", 141, 145]]","['iConnect', 'distributors']"
We offer wide range of Digital Channels which comprises of online banking DFCC ONE ATMs CDMs and MY Space Digital banking outlets,"[[""Digital Channels"", ""SERVICE"", 23, 39], [""DFCC"", ""ORG"", 74, 78],[""MY Space Digital"", ""PRODUCT"", 97, 113]]","['Digital Channels', 'Digital banking', 'DFCC']"
DFCC Bank relaunched DFCC Credit Cards with EMV enabled chip and Visa payWave contactless technology,"[[""DFCC Bank"", ""ORG"", 0, 9], [""DFCC Credit Cards"", ""PRODUCT"", 21, 38], [""EMV"", ""PRODUCT"", 44, 47], [""Visa"", ""PRODUCT"", 65, 69]]","['EMV','Visa', 'Credit Cards', 'DFCC Bank']"
DFCC acquired of MERC Bank,"[[""DFCC"", ""ORG"", 0, 4], [""MERC Bank"", ""ORG"", 17, 26]]","['DFCC', 'MERC Bank']"
flexi plan Automated Bill Settlements Introducing Automated Bill Settlement ABS with DFCC Credit Cards Spend time doing what you love Automate your bill payments,"[[""Automated Bill Settlements"", ""SERVICE"", 11, 37], [""DFCC Credit Cards"", ""PRODUCT"", 85, 102]]","['DFCC', 'Credit Cards', 'Automated Bill Settlements']"
DFCC Pinnacle Visa Infinite Credit Card with free lifetime subscription and exclusive benefits no annual fee or joining fee for you and your family,"[[""DFCC Pinnacle Visa Infinite Credit Card"", ""PRODUCT"", 0, 39]]","['Credit Card', 'Visa Infinite', 'DFCC Pinnacle Visa Infinite Credit Card']"
DFCC Bank was Sri Lanka pioneer development bank incorporated in under an Act of Parliament,"[[""DFCC Bank"", ""ORG"", 0, 9], [""Sri Lanka"", ""GPE"", 14, 23], [""Parliament"", ""ORG"", 81, 91]]","['development bank', 'DFCC Bank', 'DFCC']"
DFCC Group Find out the companies involved in forming the DFCC group,"[[""DFCC Group"", ""ORG"", 0, 10], [""DFCC"", ""ORG"", 58, 62]]","['DFCC Group', 'companies', 'DFCC']"
Travel with your DFCC Visa Signature Credit Card and experience host of exclusive offers at partner merchants worldwide,"[[""DFCC Visa Signature Credit Card"",""PRODUCT"",17,48]]","['Visa', 'DFCC Visa Signature Credit Card']"
Our Pinnacle Home Loans cater to the following needs,"[[""Pinnacle Home Loans"", ""ORG"", 4, 23]]","['Home Loans', 'Pinnacle Home Loans']"
All customers of DFCC Bank with online banking and DFCC iConnect facilities could conduct TAX payments to IRD via CEFT transactions by following the below process,"[[""DFCC Bank"", ""ORG"", 17, 26], [""DFCC iConnect"", ""PRODUCT"", 51, 64], [""IRD"", ""ORG"", 106, 109]]","['CEFT transactions', 'DFCC Bank','DFCC iConnect']"
DFCC World Mastercard CashBack into DFCC Bank account on every spend CashBack on overseas spend and CashBack on every local spend Cards with the latest Mastecard PayPass technology ,"[[""DFCC World Mastercard"", ""PRODUCT"", 0, 21], [""DFCC Bank"", ""ORG"", 36, 45]]","['DFCC World Mastercard', 'PayPass technology ']"
This solution creates unique digital account number that helps clients identify their payers automatically without having to depend on referencing ,"[[""digital account number"",""PRODUCT"",29,51]]",['digital account number']
To enjoy the features and benefits offered by DFCC Pinnacle you will need to fulfill any ONE of the below criteria,"[[""DFCC Pinnacle"", ""ORG"", 46, 59]]","['DFCC Pinnacle', 'DFCC']"
DFCC Bank offers you the highest Fixed Deposit FD rates in Sri Lanka to maximize earnings with utmost reliability and higher rate of interest for your hardearned savings Rates are subject to change based on market conditions in Sri Lanka,"[[""DFCC Bank"", ""ORG"", 0, 9], [""Fixed Deposit"", ""PRODUCT"", 33, 46], [""Sri Lanka"", ""GPE"", 59, 68], [""Sri Lanka"", ""GPE"", 228, 237]]","['Fixed Deposit', 'DFCC Bank', 'Deposit', 'FD rates']"
DFCC Alerts is facility which dispatches information of account transactions to customers via SMS or email ,"[[""DFCC Alerts"", ""PRODUCT"", 0, 11], [""SMS"", ""SERVICE"", 94, 97]]","['DFCC Alerts', 'Alerts']"
DFCC Pinnacle seamless private banking financial experience to reach new heights of success,"[[""DFCC Pinnacle"", ""ORG"", 0, 13]]","['private banking', 'DFCC Pinnacle', 'financial', 'banking']"
Manusavi Loan Scheme for Sri Lankan Migrant Workers MLSMW,"[[""Manusavi Loan Scheme"", ""PRODUCT"", 0, 20]]","['Manusavi Loan Scheme', 'Migrant Workers']"
This is the first ever Green Bond issuance in Sri Lanka which is to be listed in the Colombo Stock Exchange that benefits the Solar sector in the country,"[[""Green Bond"", ""PRODUCT"", 23, 33], [""Sri Lanka"", ""GPE"", 46, 55], [""the Colombo Stock Exchange"", ""ORG"", 81, 107], [""Solar"", ""PRODUCT"", 126, 131]]","['Green Bond', 'Colombo Stock Exchange', 'Sri Lanka']"
Our portfolio consists of development loans and such lending contributes significantly to the growth of the economy whilst we continue to expand our commercial banking business,"[[""development loans"",""PRODUCT"",26,43]]","['development loans', 'commercial banking']"
Pump fuel by using cashback Credit Card issued by DFCC Cobranded with Lanka IOC,"[[""Credit Card"", ""ORG"", 28, 39], [""DFCC"", ""ORG"", 50, 54], [""Lanka IOC"", ""ORG"", 70, 79]]","['Lanka IOC', 'fuel', 'Credit Card', 'DFCC']"
Established in DFCC Consulting Pvt Limited is fullyowned subsidiary that engages in project consultancy and related fields,"[[""DFCC Consulting Pvt Limited"", ""ORG"", 15, 42]]","['Consulting', 'DFCC Consulting Pvt Limited']"
By simply saving with DFCC Aloka savings account You are eligible to claim the following rewards of DFCC Gift Certificates by maintaining the qualifying balances in your DFCC Aloka account for months prior to reaching your milestone ,"[[""DFCC Aloka savings account"", ""PRODUCT"", 22, 48],[""DFCC Aloka"", ""PRODUCT"", 170, 180], [""months"", ""DATE"", 193, 199]]","['DFCC Gift Certificates', 'DFCC Aloka savings account']"
The new DFCC Credit Card is embedded with the latest Mastecard PayPass technology that allows you to simply tap and go for purchases,"[[""DFCC Credit Card"", ""PRODUCT"", 8, 24]]","['Mastecard PayPass technology', 'Credit Card', 'DFCC Credit Card']"
Cash Back Calculator Calculate the value of cashback you will be entitled to if you use your DFCC credit card for more than per month,"[[""DFCC"", ""ORG"", 93, 97], [""more than per month"", ""DATE"", 114, 133]]","['DFCC credit card', 'DFCC']"
DFCC Bank has recently comprehensively revamped its Junior Plus children savings account ,"[[""DFCC Bank"", ""ORG"", 0, 9],[""Junior Plus children savings account"",""PRODUCT"",52,88]]","['DFCC Bank', 'children savings', 'Junior Plus children savings account ']"
DFCC Credit Cards CashBack into your DFCC Bank account on every transaction Spend minimum of monthly and be eligible to earn CashBack into your savings or current account or your child DFCC Junior Savings Account ,"[[""DFCC Credit Cards"", ""PRODUCT"", 0, 17], [""DFCC Bank"", ""ORG"", 37, 46],[""monthly"", ""DATE"", 93, 100], [""DFCC Junior Savings"", ""PRODUCT"", 185, 204]]","['CashBack', 'DFCC Junior Savings', 'DFCC Credit Cards']"
DFCC Pinnacle Home Loans,"[[""DFCC Pinnacle Home Loans"",""PRODUCT"",0,24]]","['Home Loans', 'Loans', 'DFCC', 'DFCC Pinnacle', 'DFCC Pinnacle Home Loans']"
The system can be fully integrated to client ERP Enterprise Resource Planner through fullfledged secured direct hosttohost H H channel where encrypted payment instructions can be pulled automatically on to DFCC iConnect ,"[[""Enterprise Resource Planner"", ""PRODUCT"", 49, 76], [""DFCC iConnect"", ""PRODUCT"", 206, 219]]","['encrypted payment', 'Enterprise Resource Planner','ERP', 'DFCC iConnect']"
Credit Card Pinnacle World Mastercard Rewards,"[[""Pinnacle World Mastercard Rewards"", ""PRODUCT"", 12, 45]]","['Mastercard Rewards', 'Credit Card', 'Pinnacle World Mastercard Rewards', '', 'World Mastercard']"
Digital Banking Facilities,"[[""Digital Banking Facilities"", ""SERVICE"", 0, 26]]",['Digital Banking']
special loan scheme catering to high networth fixed income earners and self employed professionals,"[[""special loan scheme"",""PRODUCT"",0,19]]","['loan scheme', 'special loan', 'fixed income', 'loan']"
Implementation of SEMS is also required under Principle of the Sustainable Banking,"[[""Principle of the Sustainable Banking"", ""SERVICE"", 46, 82]]","['Sustainable Banking', 'SEMS']"
Spend minimum of monthly and be eligible to earn CashBack into your savings or current account or your child DFCC Junior Savings Account,"[[""monthly"", ""DATE"", 17, 24], [""DFCC Junior Savings"", ""PRODUCT"", 109, 128]]","['Junior Savings', 'DFCC Junior Savings']"
DFCC Bank SEMS which was developed in is implemented by the Sustainability Unit ,"[[""DFCC Bank"", ""ORG"", 0, 9]]","['DFCC Bank', 'Sustainability', 'DFCC']"
Leasing With over decades in the leasing business we at DFCC are fully geared to meet all your leasing requirements,"[[""DFCC"", ""ORG"", 56, 60]]","['leasing requirements', 'DFCC', 'Leasing']"
This feature on iConnect allows clients to get their distributors and suppliers onto one platform for direct financing to be approved by the Bank ,"[[""iConnect"", ""PRODUCT"", 16, 24], [""Bank"", ""ORG"", 141, 145]]","['iConnect', 'direct financing']"
DFCC Salary Plus,"[[""DFCC Salary Plus"",""PRODUCT"",0,16]]","['DFCC Salary Plus', 'Salary', 'DFCC']"
Finance Leasing early Termination Fee On the future capital,"[[""Finance Leasing"",""SERVICE"",0,15]]","['Finance Leasing', 'future capital']"
HDFC Gold Loan,"[[""HDFC Gold Loan"", ""PRODUCT"", 0, 14]]","['Gold Loan', 'HDFC Gold Loan', 'HDFC']"
HDFC MAX Fixed Deposits,"[[""HDFC MAX Fixed Deposits"",""PRODUCT"",0,23]]","['HDFC MAX Fixed Deposits', 'HDFC', 'Fixed  Deposits']"
Sirisara Housing Loan,"[[""Sirisara Housing Loan"", ""PRODUCT"", 0, 21]]","['Housing Loan','Sirisara Housing Loan']"
HDFC Rationale Promote inclusive economic growth by facilitating affordable homeownership and access to essential financial services thereby empowering individuals and families businesses to build wealth improve their financial stability and contribute to the overall economic wellbeing of the community,"[[""HDFC"",""ORG"",0,4]]","['HDFC','economic wellbeing']"
Credit Division Savings,"[[""Credit Division Savings"", ""PRODUCT"", 0, 23]]","['Credit Division Savings', 'Credit', 'Savings']"
we offer the HDFC Thilina Rekawarana Children Investment Plan specially designed to guarantee your child future financial security,"[[""HDFC Thilina Rekawarana Children Investment Plan"", ""PRODUCT"", 13, 61]]","['HDFC Thilina Rekawarana Children Investment Plan', 'Children Investment']"
HDFC Guarantor Loan employed individuals can access funding benefit from reasonable repayment periods and enjoy competitive interest rates Loan Amount Repayment Period,"[[""HDFC Guarantor Loan"", ""PRODUCT"", 0, 19]]","['HDFC Guarantor Loan', 'HDFC']"
HDFC Salary Saver Unique savings solution for monthly income earners is the best option to save some of your hardearned money and ensure brighter future ,"[[""HDFC Salary Saver"", ""PRODUCT"", 0, 17]]","['Unique savings', 'HDFC Salary Saver']"
The Shrama Udana Loan is designed specifically for members of the Employer Provident Fund EPF seeking financial support for your housing needs ,"[[""Shrama Udana Loan"", ""PRODUCT"", 4, 21]]","['Shrama Udana Loan', 'Loan', 'financial support']"
Set for Life is unique wealth creation scheme that empowers you to invest wisely and secure carefree and financially independent future ,"[[""Set for Life"",""PRODUCT"",0,12]]","['wealth creation scheme', 'Set for Life']"
Lanka Money Transfer LMT service for migrant worker remittances HDFC Bank savings account holders living in the middle east countries Israel Qatar UAE Italy UK Australia Japan Kuwait Romania and Hong Kong can remit money through this service,"[[""Lanka Money Transfer"", ""SERVICE"", 0, 20], [""LMT"", ""SERVICE"", 21, 24], [""HDFC Bank"", ""ORG"", 64, 73], [""middle east"", ""GPE"", 112, 123], [""Israel"", ""GPE"", 134, 140], [""Qatar"", ""GPE"", 141, 146], [""Italy"", ""GPE"", 151, 156], [""UK"", ""GPE"", 157, 159], [""Australia"", ""GPE"", 160, 169], [""Japan"", ""GPE"", 170, 175], [""Kuwait"", ""GPE"", 176, 182], [""Romania"", ""GPE"", 183, 190], [""Hong Kong"", ""GPE"", 195, 204]]","['HDFC', 'Money Transfer']"
HDFC Bank Joins With Lankapay just Pay System To Facilitate Hassle Free Transactions Up To Per Transaction Limit For Our prathilabhasavings Account Holders,"[[""HDFC Bank"", ""ORG"", 0, 9]]","['HDFC Bank', 'Free Transactions', 'Lankapay']"
Our Fixed Deposit Accounts provide trusted and convenient way to grow your hardearned money with competitive interest rates and flexible periods With HDFC ,"[[""Fixed Deposit"", ""PRODUCT"", 4, 17]]","['Fixed Deposit', 'Deposit Accounts', 'HDFC']"
Online Banking Just Pay Enabled Mobile Apps HDFC Bank Joins With Lankapay just Pay System To Facilitate Hassle Free Transactions Up To Per Transaction Limit For Our Prathilabha Savings Account Holders ,"[[""Online Banking"", ""SERVICE"", 0, 14],[""HDFC Bank"", ""ORG"", 44, 53],[""LankaPay"", ""ORG"", 65, 73],[""Prathilabha Savings"", ""PRODUCT"", 165, 184]]","['Online Banking', 'Free Transactions', 'HDFC Bank', 'Prathilabha Savings', 'LankaPay']"
Debit Card Discover range of debit card exclusive features and benefits Lanka Money Transfer LMT HDFC bank Prathilabha savings account holders can now remit money on real time through this service,"[[""Debit Card"", ""PRODUCT"", 0, 10], [""Lanka Money Transfer"", ""SERVICE"", 72, 92], [""LMT"", ""SERVICE"", 93, 96], [""HDFC bank"", ""ORG"", 97, 106], [""Prathilabha savings"", ""PRODUCT"", 107, 126]]","['Debit Card', 'Prathilabha savings account', 'savings account','Lanka Money Transfer', 'LMT']"
Welcome to HDFC Bank where dreams find their foundation aspirations are nurtured and opportunities are embraced,"[[""HDFC Bank"", ""ORG"", 11, 20]]","['foundation aspirations', 'HDFC Bank']"
HDFC Arumbu is uniquely designed Investment Plan offered for the Tamil speaking community in Sri Lanka aimed at guaranteeing your child financial security ,"[[""HDFC Arumbu"", ""PRODUCT"", 0, 11], [""Sri Lanka"", ""GPE"", 93, 102]]","['Investment Plan', 'HDFC Arumbu']"
HDFC Gold Loans allow customers to leverage their gold assets to obtain funds for shortterm needs including financial emergencies With our low rate of interest highest advance amount and maximum security for your valuable gold ,"[[""HDFC Gold Loans"", ""PRODUCT"", 0, 15]]","['Gold Loans', 'HDFC Gold', 'Loans']"
HDFC maintains Central Bank recommended Baseline security standards which acts as control mechanism against cyber related incidents and threats ,"[[""HDFC"", ""ORG"", 0, 4], [""Central Bank"", ""ORG"", 15, 27]]","['security standards', 'Baseline security', 'security', 'HDFC', 'Central Bank']"
HDFC Bank of Sri Lanka being responsible corporate citizen is committed to conduct business in manner consistent with the corporate vision and mission with environmental stewardship and social progress,"[[""HDFC Bank of Sri Lanka"", ""ORG"", 0, 22]]","['HDFC Bank of Sri Lanka', 'corporate citizen', 'corporate vision', 'corporate']"
FD Investment plan Our Fixed Deposit Accounts provide trusted and convenient way to grow your hardearned money with competitive interest rates and flexible tenures,"[[""FD Investment"", ""PRODUCT"", 0, 13], [""Fixed Deposit Accounts"", ""PRODUCT"", 23, 45]]","['Fixed Deposit', 'FD', 'Investment plan']"
HDFC Smart Goal is unique savings scheme designed to enable you to realize your mediumterm goals Whether it purchasing new car getting married or sending your children overseas for education ,"[[""HDFC Smart Goal"", ""PRODUCT"", 0, 15]]","['HDFC Smart', 'HDFC Smart Goal', 'savings scheme', 'HDFC']"
HDFC Education Loan,"[[""HDFC Education Loan"", ""PRODUCT"", 0, 19]]","['HDFC Education Loan', 'Education Loan', 'HDFC', 'Education']"
Our Fixed Deposit Accounts provide trusted and convenient way to grow your hardearned money with competitive interest rates and flexible tenures ,"[[""Fixed Deposit Accounts"", ""PRODUCT"", 4, 26]]","['Deposit Accounts', 'Fixed Deposit','HDFC']"
Kedella Housing Loan,"[[""Kedella Housing Loan"", ""PRODUCT"", 0, 20]]","['Housing Loan', 'Kedella Housing Loan']"
HDFC Vishrama Rekawarana is our unique Retirement Fund customized financial instrument that caters to the special needs of social clusters such as the Agricultural Farming community Government Teachers community and nongovernmental industrial workers community ,"[[""HDFC Vishrama Rekawarana"", ""PRODUCT"", 0, 24]]","['Retirement Fund', 'HDFC Vishrama Rekawarana']"
With the HDFC Max Fixed Deposit Scheme you can choose from selection of tenures that suit your individual and unique investment needs,"[[""HDFC Max Fixed Deposit Scheme"", ""PRODUCT"", 9, 38]]","['Fixed Deposit', 'HDFC Max Fixed Deposit Scheme', 'HDFC']"
HDFC Guarantor Loan,"[[""HDFC Guarantor Loan"", ""PRODUCT"", 0, 19]]","['Guarantor Loan', 'HDFC Guarantor Loan', 'HDFC']"
Lanka Money Transfer LMT service for migrant worker remittances,"[[""Lanka Money Transfer"", ""SERVICE"", 0, 20], [""LMT"", ""SERVICE"", 21, 24]]","['worker remittances','Money Transfer', 'Lanka Money Transfer', 'LMT']"
HDFC Bank joins with lankapay just Pay system to facilitate hassle free transactions,"[[""HDFC Bank"", ""ORG"", 0, 9], [""lankapay"", ""ORG"", 21, 29]]","['HDFC Bank', 'lankapay', 'free transactions', 'HDFC']"
we have designed Thilina Savings Account personalized Investment Account exclusively for children With Thilina you can lay strong foundation for financial wellbeing,"[[""Thilina Savings Account"", ""PRODUCT"", 17, 40]]","['Savings Account', 'Thilina Savings Account', 'Investment Account']"
Our Fixed Deposit Accounts provide trusted and convenient way to grow your hardearned money with competitive interest rates and flexible periods ,"[[""Fixed Deposit Accounts"", ""PRODUCT"", 4, 26]]","['Deposit Accounts', 'Fixed Deposit']"
Gurusevana Savings Deposits,"[[""Gurusevana Savings Deposits"", ""PRODUCT"", 0, 27]]","['Gurusevana Savings', 'Deposits', 'Savings']"
EPF Smart Loan,"[[""EPF Smart Loan"", ""PRODUCT"", 0, 14]]","['Smart Loan', 'EPF Smart Loan', 'EPF']"
HDFC Bank savings account holders living in the middle east countries Israel Qatar UAE Italy UK Australia Japan Kuwait Romania and Hong Kong can remit money through this service,"[[""HDFC Bank"", ""ORG"", 0, 9], [""middle east"", ""GPE"", 48, 59], [""Israel"", ""GPE"", 70, 76], [""Qatar"", ""GPE"", 77, 82], [""Italy"", ""GPE"", 87, 92], [""UK"", ""GPE"", 93, 95], [""Australia"", ""GPE"", 96, 105], [""Japan"", ""GPE"", 106, 111], [""Kuwait"", ""GPE"", 112, 118], [""Romania"", ""GPE"", 119, 126], [""Hong Kong"", ""GPE"", 131, 140]]","['HDFC Bank', 'savings account']"
With the HDFC Guarantor Loan employed individuals can access funding benefit from reasonable repayment periods and enjoy competitive interest rates,"[[""HDFC Guarantor Loan"", ""PRODUCT"", 9, 28]]","['Guarantor Loan', 'HDFC Guarantor Loan']"
HDFC Development and Corporate Loan Scheme dedicated to fueling the growth and success of small medium and large enterprises through our transformative Development Loan Scheme,"[[""HDFC Development and Corporate Loan Scheme"", ""PRODUCT"", 0, 42], [""Development Loan Scheme"", ""PRODUCT"", 152, 175]]","['Development Loan', 'Corporate Loan', 'Loan Scheme', 'HDFC']"
Development Credit Mortgage,"[[""Development Credit Mortgage"", ""PRODUCT"", 0, 27]]","['Development', 'Credit Mortgage', 'Development Credit Mortgage']"
Vishrama Udana Fixed Deposits is fixed deposit scheme designed exclusively for Senior Citizens ensuring the safety and growth of your investments,"[[""Vishrama Udana Fixed Deposits"", ""PRODUCT"", 0, 29]]","['fixed deposit', 'deposit scheme', 'Vishrama Udana Fixed Deposit', 'Senior Citizens']"
EPF Advantage Loan,"[[""EPF Advantage Loan"", ""PRODUCT"", 0, 18]]","['Advantage Loan', 'EPF Advantage Loan', 'EPF']"
Kedella Housing loan offers unparalleled flexibility ensuring tailormade financing solution to suit all your housing needs With attractive rates that will leave you smiling ,"[[""Kedella Housing Loan"", ""PRODUCT"", 0, 20]]","['Housing loan', 'Kedella Housing Loan', 'loan offers']"
